name,image,property,variation,scale,rating,attempt
,,,,,,
Chris,im2,br,0.7,1_10,4,0
,,,,,,
Chris,im2,br,0.85,1_10,5,0
,,,,,,
Chris,im2,br,1,1_10,7,0
,,,,,,
Chris,im2,br,1.45,1_10,5,0
,,,,,,
Chris,im2,br,1.3,1_10,4,0
,,,,,,
Chris,im2,br,1.15,1_10,8,0
,,,,,,
Chris,im2,br,0.7,words,sehr schlecht,0
,,,,,,
Chris,im2,br,0.85,words,mittel,0
,,,,,,
Chris,im2,br,1,words,gut,0
,,,,,,
Chris,im2,br,1.45,words,sehr schlecht,0
,,,,,,
Chris,im2,br,1.3,words,gut,0
,,,,,,
Chris,im2,br,1.15,words,sehr gut,0
,,,,,,
Chris,im2,br,0.7,grades,3+,0
,,,,,,
Chris,im2,br,0.85,grades,2-,0
,,,,,,
Chris,im2,br,1,grades,2-,0
,,,,,,
Chris,im2,br,1.45,grades,4,0
,,,,,,
Chris,im2,br,1.3,grades,4+,0
,,,,,,
Chris,im2,br,1.15,grades,2+,0
,,,,,,
Chris,im2,br,0.7,1_50,21,0
,,,,,,
Chris,im2,br,0.85,1_50,33,0
,,,,,,
Chris,im2,br,1,1_50,44,0
,,,,,,
Chris,im2,br,1.45,1_50,23,0
,,,,,,
Chris,im2,br,1.3,1_50,36,0
,,,,,,
Chris,im2,br,1.15,1_50,44,0
,,,,,,
Chris,im2,con,1,1_10,2,0
,,,,,,
Chris,im2,con,1.45,1_10,3,0
,,,,,,
Chris,im2,con,1.3,1_10,4,0
,,,,,,
Chris,im2,con,0.85,1_10,4,0
,,,,,,
Chris,im2,con,0.7,1_10,3,0
,,,,,,
Chris,im2,con,1.15,1_10,4,0
,,,,,,
Chris,im2,con,1,words,sehr schlecht,0
,,,,,,
Chris,im2,con,1.45,words,schlecht,0
,,,,,,
Chris,im2,con,1.3,words,gut,0
,,,,,,
Chris,im2,con,0.85,words,sehr schlecht,0
,,,,,,
Chris,im2,con,0.7,words,schlecht,0
,,,,,,
Chris,im2,con,1.15,words,gut,0
,,,,,,
Chris,im2,con,1,grades,5+,0
,,,,,,
Chris,im2,con,1.45,grades,4+,0
,,,,,,
Chris,im2,con,1.3,grades,3-,0
,,,,,,
Chris,im2,con,0.85,grades,5-,0
,,,,,,
Chris,im2,con,0.7,grades,4-,0
,,,,,,
Chris,im2,con,1.15,grades,3,0
,,,,,,
Chris,im2,con,1,1_50,14,0
,,,,,,
Chris,im2,con,1.45,1_50,26,0
,,,,,,
Chris,im2,con,1.3,1_50,40,0
,,,,,,
Chris,im2,con,0.85,1_50,20,0
,,,,,,
Chris,im2,con,0.7,1_50,36,0
,,,,,,
Chris,im2,con,1.15,1_50,41,0
,,,,,,
Chris,im2,sat,1.4,1_10,4,0
,,,,,,
Chris,im2,sat,1.2,1_10,4,0
,,,,,,
Chris,im2,sat,1.6,1_10,7,0
,,,,,,
Chris,im2,sat,0.9,1_10,5,0
,,,,,,
Chris,im2,sat,0.75,1_10,5,0
,,,,,,
Chris,im2,sat,1,1_10,7,0
,,,,,,
Chris,im2,sat,1.4,words,schlecht,0
,,,,,,
Chris,im2,sat,1.2,words,mittel,0
,,,,,,
Chris,im2,sat,1.6,words,gut,0
,,,,,,
Chris,im2,sat,0.9,words,mittel,0
,,,,,,
Chris,im2,sat,0.75,words,mittel,0
,,,,,,
Chris,im2,sat,1,words,sehr gut,0
,,,,,,
Chris,im2,sat,1.4,grades,4+,0
,,,,,,
Chris,im2,sat,1.2,grades,3+,0
,,,,,,
Chris,im2,sat,1.6,grades,2,0
,,,,,,
Chris,im2,sat,0.9,grades,3,0
,,,,,,
Chris,im2,sat,0.75,grades,2+,0
,,,,,,
Chris,im2,sat,1,grades,1-,0
,,,,,,
Chris,im2,sat,1.4,1_50,28,0
,,,,,,
Chris,im2,sat,1.2,1_50,38,0
,,,,,,
Chris,im2,sat,1.6,1_50,44,0
,,,,,,
Chris,im2,sat,0.9,1_50,28,0
,,,,,,
Chris,im2,sat,0.75,1_50,37,0
,,,,,,
Chris,im2,sat,1,1_50,46,0
,,,,,,
Chris,im5,br,0.7,1_10,8,0
,,,,,,
Chris,im5,br,0.85,1_10,5,0
