name,image,property,variation,scale,rating,attempt

Matti,im2,br,1,1_10,6,1

Matti,im2,br,1.15,1_10,6,1

Matti,im2,br,1.45,1_10,3,1

Matti,im2,br,0.85,1_10,4,1

Matti,im2,br,1.3,1_10,1,1

Matti,im2,br,0.7,1_10,3,1

Matti,im2,br,1,words,mittel,1

Matti,im2,br,1.15,words,mittel,1

Matti,im2,br,1.45,words,sehr schlecht,1

Matti,im2,br,0.85,words,schlecht,1

Matti,im2,br,1.3,words,sehr schlecht,1

Matti,im2,br,0.7,words,sehr schlecht,1

Matti,im2,br,1,grades,4+,1

Matti,im2,br,1.15,grades,4+,1

Matti,im2,br,1.45,grades,5,1

Matti,im2,br,0.85,grades,5,1

Matti,im2,br,1.3,grades,5-,1

Matti,im2,br,0.7,grades,4-,1

Matti,im2,br,1,1_50,20,1

Matti,im2,br,1.15,1_50,14,1

Matti,im2,br,1.45,1_50,10,1

Matti,im2,br,0.85,1_50,15,1

Matti,im2,br,1.3,1_50,7,1

Matti,im2,br,0.7,1_50,12,1

Matti,im2,con,0.7,1_10,5,1

Matti,im2,con,0.85,1_10,4,1

Matti,im2,con,1.3,1_10,2,1

Matti,im2,con,1.45,1_10,2,1

Matti,im2,con,1.15,1_10,1,1

Matti,im2,con,1,1_10,6,1

Matti,im2,con,0.7,words,schlecht,1

Matti,im2,con,0.85,words,sehr schlecht,1

Matti,im2,con,1.3,words,sehr schlecht,1

Matti,im2,con,1.45,words,sehr schlecht,1

Matti,im2,con,1.15,words,sehr schlecht,1

Matti,im2,con,1,words,gut,1

Matti,im2,con,0.7,grades,4,1

Matti,im2,con,0.85,grades,5+,1

Matti,im2,con,1.3,grades,5-,1

Matti,im2,con,1.45,grades,5-,1

Matti,im2,con,1.15,grades,6,1

Matti,im2,con,1,grades,3+,1

Matti,im2,con,0.7,1_50,15,1

Matti,im2,con,0.85,1_50,7,1

Matti,im2,con,1.3,1_50,10,1

Matti,im2,con,1.45,1_50,7,1

Matti,im2,con,1.15,1_50,4,1

Matti,im2,con,1,1_50,38,1

Matti,im2,sat,1,1_10,5,1

Matti,im2,sat,0.75,1_10,2,1

Matti,im2,sat,1.2,1_10,4,1

Matti,im2,sat,1.6,1_10,1,1

Matti,im2,sat,0.9,1_10,3,1

Matti,im2,sat,1.4,1_10,8,1

Matti,im2,sat,1,words,schlecht,1

Matti,im2,sat,0.75,words,sehr schlecht,1

Matti,im2,sat,1.2,words,schlecht,1

Matti,im2,sat,1.6,words,sehr schlecht,1

Matti,im2,sat,0.9,words,sehr schlecht,1

Matti,im2,sat,1.4,words,sehr gut,1

Matti,im2,sat,1,grades,3-,1

Matti,im2,sat,0.75,grades,6+,1

Matti,im2,sat,1.2,grades,5+,1

Matti,im2,sat,1.6,grades,6+,1

Matti,im2,sat,0.9,grades,4-,1

Matti,im2,sat,1.4,grades,1-,1

Matti,im2,sat,1,1_50,15,1

Matti,im2,sat,0.75,1_50,2,1

Matti,im2,sat,1.2,1_50,18,1

Matti,im2,sat,1.6,1_50,5,1

Matti,im2,sat,0.9,1_50,12,1

Matti,im2,sat,1.4,1_50,41,1

Matti,im6,br,1,1_10,6,1

Matti,im6,br,1.15,1_10,8,1

Matti,im6,br,1.45,1_10,5,1

Matti,im6,br,0.85,1_10,1,1

Matti,im6,br,1.3,1_10,8,1

Matti,im6,br,0.7,1_10,2,1

Matti,im6,br,1,words,mittel,1

Matti,im6,br,1.15,words,gut,1

Matti,im6,br,1.45,words,mittel,1

Matti,im6,br,0.85,words,sehr schlecht,1

Matti,im6,br,1.3,words,sehr gut,1

Matti,im6,br,0.7,words,schlecht,1

Matti,im6,br,1,grades,2-,1

Matti,im6,br,1.15,grades,2+,1

Matti,im6,br,1.45,grades,3+,1

Matti,im6,br,0.85,grades,6,1

Matti,im6,br,1.3,grades,1,1

Matti,im6,br,0.7,grades,3,1

Matti,im6,br,1,1_50,33,1

Matti,im6,br,1.15,1_50,37,1

Matti,im6,br,1.45,1_50,29,1

Matti,im6,br,0.85,1_50,2,1

Matti,im6,br,1.3,1_50,41,1

